probe,class,symbol
7138,CMS1,TNNT1
1846,CMS1,DUSP4
6398,CMS1,SECTM1
6300,CMS1,MAPK12
57211,CMS1,ADGRG6
28951,CMS1,TRIB2
5874,CMS1,RAB27B
6624,CMS1,FSCN1
2119,CMS1,ETV5
7298,CMS1,TYMS
5551,CMS1,PRF1
2026,CMS1,ENO2
7020,CMS1,TFAP2A
55034,CMS1,MOCOS
23780,CMS1,APOL2
51090,CMS1,PLLP
10634,CMS1,GAS2L1
4502,CMS1,MT2A
3659,CMS1,IRF1
3383,CMS1,ICAM1
57476,CMS1,GRAMD1B
9271,CMS1,PIWIL1
9246,CMS1,UBE2L6
10267,CMS1,RAMP1
22824,CMS1,HSPA4L
220134,CMS1,SKA1
54509,CMS1,RHOF
10769,CMS1,PLK2
3433,CMS1,IFIT2
5881,CMS1,RAC3
1627,CMS1,DBN1
56938,CMS1,ARNTL2
3437,CMS1,IFIT3
63967,CMS1,CLSPN
644,CMS1,BLVRA
10437,CMS1,IFI30
6772,CMS1,STAT1
54739,CMS1,XAF1
23657,CMS1,SLC7A11
5918,CMS1,RARRES1
6890,CMS1,TAP1
2232,CMS1,FDXR
8492,CMS1,PRSS12
1510,CMS1,CTSE
21,CMS1,ABCA3
684,CMS1,BST2
10076,CMS1,PTPRU
55872,CMS1,PBK
4277,CMS1,MICB
4939,CMS1,OAS2
4061,CMS1,LY6E
8542,CMS1,APOL1
330,CMS1,BIRC3
25758,CMS1,KIAA1549L
5698,CMS1,PSMB9
4501,CMS1,MT1X
745,CMS1,MYRF
5366,CMS1,PMAIP1
23255,CMS1,MTCL1
2571,CMS1,GAD1
7127,CMS1,TNFAIP2
7852,CMS1,CXCR4
79413,CMS1,ZBED2
6507,CMS1,SLC1A3
8638,CMS1,OASL
1604,CMS1,CD55
9636,CMS1,ISG15
5321,CMS1,PLA2G4A
9751,CMS1,SNPH
333,CMS1,APLP1
8942,CMS1,KYNU
1396,CMS1,CRIP1
