subtype_id,subtype_label,gene,pathway,mean_burden,overall_mean,fold_change,effect_size
0,subtype_0,RRM2,HALLMARK_MTORC1_SIGNALING,5.2243,3.3118,1.5775,3.021
0,subtype_0,NUSAP1,HALLMARK_MITOTIC_SPINDLE,4.0133,2.7562,1.4561,3.0126
0,subtype_0,CDKN3,HALLMARK_SPERMATOGENESIS,3.5105,2.6476,1.3259,2.8292
0,subtype_0,TOP2A,HALLMARK_PEROXISOME,4.2879,3.0658,1.3986,2.7744
0,subtype_0,TYMS,HALLMARK_MYC_TARGETS_V1,5.7576,3.9248,1.467,2.7426
0,subtype_0,DLGAP5,HALLMARK_MITOTIC_SPINDLE,3.4286,2.3184,1.4789,2.721
0,subtype_0,PRC1,HALLMARK_MITOTIC_SPINDLE,4.475,2.8813,1.5531,2.7106
0,subtype_0,CDK1,HALLMARK_SPERMATOGENESIS,3.5775,2.5402,1.4083,2.6941
0,subtype_0,CCNA2,HALLMARK_MYC_TARGETS_V1,3.6163,2.5239,1.4328,2.6208
0,subtype_0,UBE2C,HALLMARK_G2M_CHECKPOINT,5.473,4.1977,1.3038,2.5822
0,subtype_0,CKS1B,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,3.2566,2.5746,1.2649,2.5689
0,subtype_0,CENPN,HALLMARK_ANDROGEN_RESPONSE,3.3194,2.7264,1.2175,2.5394
0,subtype_0,ZWINT,HALLMARK_DNA_REPAIR,4.8936,3.1273,1.5648,2.5388
0,subtype_0,BIRC5,HALLMARK_MITOTIC_SPINDLE,3.4141,2.792,1.2228,2.4987
0,subtype_0,FEN1,HALLMARK_UV_RESPONSE_UP,3.5308,2.7052,1.3052,2.4963
0,subtype_0,KIF2C,HALLMARK_SPERMATOGENESIS,3.4614,2.6053,1.3286,2.4941
0,subtype_0,CKS2,HALLMARK_G2M_CHECKPOINT,4.8833,3.128,1.5612,2.4791
0,subtype_0,TPX2,HALLMARK_MITOTIC_SPINDLE,3.7607,2.6431,1.4228,2.477
0,subtype_0,CCNB2,HALLMARK_SPERMATOGENESIS,5.3061,3.6005,1.4737,2.476
0,subtype_0,BUB1,HALLMARK_SPERMATOGENESIS,3.6507,2.5441,1.435,2.4692
1,subtype_1,PGM2,HALLMARK_HYPOXIA,5.7547,5.2254,1.1013,1.5138
1,subtype_1,ADAM9,HALLMARK_COMPLEMENT,5.4421,4.8221,1.1286,1.4075
