sample_id,cluster_id,cluster_label,confidence
GSM1602801,3,subtype_3,0.9990265667392699
GSM1602802,1,subtype_1,0.9999997847847287
GSM1602803,1,subtype_1,0.9999985020475101
GSM1602804,2,subtype_2,0.9999999352153871
GSM1602805,1,subtype_1,0.9998968678554992
GSM1602806,1,subtype_1,0.9999998973179077
GSM1602807,2,subtype_2,0.999999994965723
GSM1602808,2,subtype_2,0.9999999999995381
GSM1602809,2,subtype_2,1.0
GSM1602810,2,subtype_2,0.9999999999995133
GSM1602811,3,subtype_3,0.9999999999999716
GSM1602812,1,subtype_1,0.9999999890662538
GSM1602813,0,subtype_0,1.0
GSM1602814,3,subtype_3,0.999999941013483
GSM1602815,0,subtype_0,1.0
GSM1602816,3,subtype_3,0.9979123029113461
GSM1602817,3,subtype_3,0.9999904833747242
GSM1602818,0,subtype_0,0.9999999991015969
GSM1602819,1,subtype_1,0.9999999999965148
GSM1602820,1,subtype_1,0.998074344045902
GSM1602821,1,subtype_1,0.9999999951112066
GSM1602822,2,subtype_2,0.9999999999999787
GSM1602823,0,subtype_0,1.0
GSM1602824,0,subtype_0,1.0
GSM1602825,1,subtype_1,0.9999999996588613
GSM1602826,3,subtype_3,0.9999985839241611
GSM1602827,1,subtype_1,0.9989998540015138
GSM1602828,2,subtype_2,0.9999999844824715
GSM1602829,1,subtype_1,0.9995722687530483
GSM1602830,1,subtype_1,0.9999999994124771
GSM1602831,1,subtype_1,0.9999999935732404
GSM1602832,2,subtype_2,0.9954139249344915
GSM1602833,0,subtype_0,1.0
GSM1602834,3,subtype_3,0.9979959236634288
GSM1602835,2,subtype_2,0.9999995184666823
GSM1602836,2,subtype_2,0.9999999994123883
GSM1602837,1,subtype_1,0.9998941596966358
GSM1602838,2,subtype_2,0.9998523065944421
GSM1602839,0,subtype_0,0.9999999993946496
GSM1602840,2,subtype_2,0.9999999999999716
GSM1602841,3,subtype_3,0.9953912627886288
GSM1602842,1,subtype_1,1.0
GSM1602843,3,subtype_3,0.9990584794946922
GSM1602844,1,subtype_1,1.0
GSM1602845,3,subtype_3,0.9999999999999929
GSM1602846,2,subtype_2,0.9999999968203959
GSM1602847,0,subtype_0,0.9999999937692436
